customer_id,contract_start_date,contract_end_date,monthly_charges,total_charges,payment_method,tenure_months,service_type,contract_type,name
10045,2024-03-29,,99.0,1524.3,Credit card,15,electricity,one year,Marco De Luca
10046,2024-08-27,,52.8,50.6,Electronic check,1,electricity,month-to-month,Luigi Caruso
10047,2021-02-16,,101.5,419.3,Bank transfer,4,electricity,month-to-month,Luigi Benedetti
10048,2025-08-11,2027-02-02,80.9,1397.3,Credit card,18,electricity,month-to-month,Matteo Longo
10049,2024-12-14,,74.3,794.5,Mailed check,11,gas,one year,Veronica Colombo
10050,2022-09-11,,107.7,1464.3,Mailed check,13,gas,month-to-month,Giorgio Gentile
10051,2025-01-23,2026-03-24,71.4,1002.5,Mailed check,14,both,one year,Giorgio Rossi
10052,2022-10-13,,66.3,1550.2,Credit card,24,electricity,two year,Salvatore Moretti
10053,2024-08-18,,73.3,634.0,Credit card,9,electricity,month-to-month,Valentina Bruno
10054,2020-11-06,,83.4,1143.8,Electronic check,14,both,one year,Paolo Fiore
10055,2023-11-27,,60.4,1579.8,Mailed check,27,electricity,two year,Marco Fiore
10056,2025-01-28,,89.7,1976.4,Electronic check,21,both,two year,Chiara Colombo
10057,2021-04-15,,60.6,581.5,Electronic check,10,electricity,one year,Camilla Gallo
10058,2023-06-01,2024-07-17,90.4,1299.4,Bank transfer,14,gas,one year,Federica Romano
10059,2023-08-16,,60.8,847.3,Mailed check,14,electricity,one year,Camilla Russo
10060,2023-02-07,,84.5,1796.9,Electronic check,22,both,month-to-month,Valentina Mancini
10061,2023-12-22,,113.0,2965.7,Electronic check,27,electricity,two year,Davide Bianchi
10062,2021-07-29,,98.4,1835.7,Bank transfer,18,both,month-to-month,Veronica Bellini
10063,2024-06-25,,84.8,1150.7,Electronic check,13,electricity,month-to-month,Paolo Ferrara
10064,2024-11-23,,82.0,1681.2,Bank transfer,21,gas,month-to-month,Debora Conti
10065,2022-11-26,,101.8,2275.0,Mailed check,22,both,two year,Angelo Gallo
10066,2020-12-01,2022-04-15,108.4,1807.2,Mailed check,17,electricity,month-to-month,Federica Fontana
10067,2022-12-11,,92.4,2498.4,Bank transfer,27,gas,two year,Simone Bianchi
10068,2021-07-12,2022-02-23,96.9,809.2,Credit card,8,electricity,month-to-month,Stefano Russo
10069,2022-09-17,,83.8,2004.3,Mailed check,23,both,two year,Sara Lombardi
10070,2023-12-04,,89.3,1114.3,Mailed check,12,both,month-to-month,Sara Bruno
10071,2024-09-01,,54.8,1041.6,Bank transfer,20,gas,two year,Ilaria De Luca
10072,2023-06-08,,74.0,779.1,Electronic check,11,both,one year,Sofia Bellini
10073,2025-04-03,,113.9,236.8,Mailed check,2,electricity,month-to-month,Marco Lombardi
10074,2023-07-13,,110.7,2816.7,Bank transfer,25,electricity,two year,Paolo Ferrari
10075,2025-05-30,,88.5,1095.6,Credit card,12,electricity,month-to-month,Camilla Moretti
10076,2023-09-08,,51.2,1198.5,Mailed check,23,both,two year,Salvatore Marchetti
10077,2021-03-27,,71.4,488.4,Electronic check,7,both,month-to-month,Serena Gentile
10078,2022-12-22,,119.6,1364.9,Electronic check,11,gas,one year,Stefano Rossi
10079,2024-11-02,,113.4,2608.5,Electronic check,24,gas,month-to-month,Alessandro Marini
10080,2025-06-07,,93.3,1371.9,Electronic check,15,electricity,month-to-month,Valentina Bianchi
10081,2025-04-03,2025-08-31,101.5,501.1,Credit card,5,gas,month-to-month,Debora Mancini
10082,2024-06-09,2025-02-20,80.5,735.6,Electronic check,9,gas,month-to-month,Sara Moretti
10083,2025-06-27,,95.2,2608.9,Bank transfer,28,gas,two year,Davide Vitale
10084,2024-02-16,,70.6,1025.9,Credit card,14,electricity,one year,Marco Bianchi
10085,2021-09-30,,109.6,541.1,Credit card,5,gas,month-to-month,Veronica Costa
10086,2021-03-10,,91.8,1441.2,Mailed check,16,both,month-to-month,Daniele Moretti
10087,2022-04-27,,93.5,1891.7,Bank transfer,21,gas,two year,Debora Rossi
10088,2024-08-14,2025-10-28,111.2,1667.8,Bank transfer,15,gas,one year,Elisa Martinelli
10089,2025-01-10,2026-08-28,61.3,1217.4,Bank transfer,20,electricity,month-to-month,Martina Fontana
10090,2022-11-01,2024-02-28,110.3,1807.8,Bank transfer,16,both,month-to-month,Simone Marino
10091,2020-09-23,,50.8,617.7,Electronic check,12,gas,one year,Veronica Fiore
10092,2020-12-02,2022-01-06,63.6,786.0,Credit card,13,electricity,one year,Valentina Moretti
10093,2020-10-23,,91.0,1014.1,Mailed check,11,electricity,one year,Angelo Fiore
10094,2023-01-18,,55.6,338.0,Mailed check,6,electricity,month-to-month,Matteo Ferrari
10095,2023-10-17,,109.6,1011.0,Mailed check,9,gas,month-to-month,Sofia Fontana
10096,2022-04-05,,90.1,2160.5,Bank transfer,23,gas,two year,Elisa Ferrara
10097,2020-09-18,,86.4,1891.6,Credit card,23,electricity,two year,Stefano Marini
10098,2021-11-20,,88.6,623.6,Bank transfer,7,both,month-to-month,Paolo Benedetti
10099,2023-11-11,,62.5,887.5,Electronic check,14,gas,one year,Ilaria Barbieri
10100,2021-09-03,,76.7,1763.6,Mailed check,22,both,two year,Luca Santoro
10101,2022-05-07,,76.1,1327.5,Electronic check,18,gas,month-to-month,Elena Barbieri
10102,2022-12-19,,94.1,1259.1,Mailed check,13,both,one year,Marco Moretti
10103,2023-10-14,,115.3,1164.8,Electronic check,10,electricity,one year,Giulia Innocenti
10104,2020-10-12,,93.7,567.4,Credit card,6,both,month-to-month,Roberto Gentile
10105,2024-08-26,,75.7,2048.8,Credit card,27,both,two year,Gaia De Luca
10106,2024-10-10,,76.8,843.7,Electronic check,11,both,one year,Angelo Marini
10107,2023-08-09,,94.5,2047.0,Mailed check,22,both,two year,Daniele Costa
10108,2023-06-09,,50.0,254.8,Electronic check,5,both,month-to-month,Valentina Conti
10109,2024-06-18,2026-06-12,107.0,2487.0,Mailed check,24,electricity,two year,Matteo Giordano
10110,2022-11-07,,53.1,574.3,Credit card,11,both,one year,Sofia Giordano
10111,2022-05-27,,85.5,172.7,Credit card,2,gas,month-to-month,Silvia Romano
10112,2023-08-30,2024-05-27,56.5,499.1,Bank transfer,9,gas,month-to-month,Angelo Innocenti
10113,2021-06-11,,57.0,227.4,Electronic check,4,gas,month-to-month,Serena Marini
10114,2025-01-21,,95.9,468.8,Electronic check,5,gas,month-to-month,Giulia Russo
10115,2022-08-02,2023-05-08,72.1,639.3,Bank transfer,9,electricity,month-to-month,Federica Ferrara
10116,2022-11-28,2024-05-01,99.7,1762.3,Bank transfer,17,gas,month-to-month,Matteo Ferrara
10117,2021-02-10,,119.2,360.6,Electronic check,3,gas,month-to-month,Michela Fiore
10118,2022-02-16,,113.4,1591.6,Electronic check,14,both,one year,Nicole Longo
10119,2021-11-06,,105.1,2461.5,Credit card,24,electricity,two year,Valentina Colombo
10120,2024-08-07,,57.5,667.1,Electronic check,12,gas,month-to-month,Marco Lombardo
10121,2023-07-23,,98.8,1137.5,Bank transfer,11,both,one year,Alessia Gallo
10122,2020-11-24,,81.1,1345.2,Electronic check,17,gas,month-to-month,Michela Ricci
10123,2025-05-29,,116.5,1727.3,Electronic check,15,electricity,one year,Sofia Russo
10124,2023-07-05,,67.2,705.4,Bank transfer,10,electricity,one year,Angelo Benedetti
10125,2021-09-01,,53.0,1414.8,Bank transfer,26,electricity,two year,Debora Ferrari
10126,2022-02-02,,92.1,1922.8,Bank transfer,21,gas,month-to-month,Andrea Ferrari
10127,2024-07-30,,95.7,1088.0,Bank transfer,11,both,one year,Giorgio Ricci
10128,2023-09-26,,115.0,3089.0,Electronic check,28,both,two year,Veronica Barbieri
10129,2023-06-26,,99.9,1164.3,Bank transfer,12,gas,one year,Matteo De Luca
10130,2025-03-05,,67.4,981.4,Mailed check,14,electricity,one year,Martina De Luca
10131,2024-12-12,2026-03-10,91.5,1399.0,Credit card,15,gas,month-to-month,Giorgio Basile
10132,2023-09-14,,109.7,1480.9,Electronic check,13,electricity,month-to-month,Alessia Bianchi
10133,2023-10-07,,86.3,972.4,Mailed check,11,electricity,one year,Daniele Lombardi
10134,2022-06-03,,67.7,1806.5,Bank transfer,26,gas,two year,Elisa Basile
10135,2023-10-07,,70.8,1739.1,Electronic check,24,gas,two year,Nicole Esposito
10136,2022-06-28,,55.3,564.9,Mailed check,10,gas,one year,Stefano Esposito
10137,2021-06-17,,66.7,1687.1,Electronic check,26,electricity,two year,Camilla Marino
10138,2022-07-02,2023-11-14,93.7,1525.5,Mailed check,17,electricity,month-to-month,Martina Lombardo
10139,2023-06-01,,65.1,125.4,Bank transfer,2,electricity,month-to-month,Alessia Ferrari
10140,2023-08-02,2024-01-06,84.1,434.3,Mailed check,5,gas,month-to-month,Marco De Luca
10141,2023-07-22,,109.7,2399.4,Electronic check,23,electricity,two year,Paolo Martinelli
10142,2022-08-13,,99.7,2261.7,Credit card,22,electricity,two year,Matteo Caruso
10143,2024-02-21,,92.9,1838.4,Bank transfer,20,both,two year,Davide Lombardo
10144,2020-10-18,,82.1,1084.1,Credit card,13,gas,one year,Marco Morelli
10145,2022-09-13,,112.8,3307.7,Bank transfer,28,both,two year,Silvia Rossi
10146,2024-03-31,,58.0,830.8,Electronic check,15,gas,one year,Alessia Bruno
10147,2023-07-06,,50.6,358.3,Credit card,7,gas,month-to-month,Camilla Lombardo
10148,2021-10-18,,108.7,2534.7,Credit card,24,gas,two year,Elisa Ferrara
10149,2023-11-26,,95.1,1178.7,Electronic check,12,both,one year,Luigi Russo
10150,2023-04-23,,66.5,1554.4,Bank transfer,23,both,two year,Paolo Ricci
10151,2021-05-16,,92.9,283.7,Credit card,3,electricity,month-to-month,Marco Ferrari
10152,2024-11-08,,78.3,815.9,Electronic check,10,gas,one year,Sofia Bellini
10153,2022-08-23,,87.9,1002.8,Credit card,11,both,month-to-month,Francesco Lombardi
10154,2023-08-10,,98.6,860.7,Bank transfer,9,electricity,month-to-month,Sofia Bellini
10155,2021-12-10,,87.9,1989.3,Credit card,22,electricity,two year,Serena Coppola
10156,2023-05-03,,80.2,1604.5,Bank transfer,21,gas,two year,Alessandro Vitale
10157,2025-04-27,,117.1,1738.1,Electronic check,15,electricity,one year,Daniele Russo
10158,2024-04-01,,61.4,1278.1,Bank transfer,20,both,two year,Antonio Lombardo
10159,2023-06-12,,59.6,682.2,Credit card,11,both,one year,Veronica Marini
10160,2022-01-13,,61.7,1387.7,Bank transfer,22,electricity,two year,Marco Giordano
10161,2024-08-07,2024-10-22,100.2,293.8,Bank transfer,3,electricity,month-to-month,Roberto Bellini
10162,2022-01-06,,88.7,1008.2,Bank transfer,11,electricity,one year,Daniele Sanna
10163,2023-09-09,,113.9,1949.0,Electronic check,18,both,month-to-month,Salvatore Lombardo
10164,2022-10-16,,94.9,2683.2,Credit card,27,gas,two year,Veronica Barbieri
10165,2023-04-16,,73.5,1439.1,Bank transfer,20,electricity,month-to-month,Davide Fontana
10166,2021-12-03,,112.8,1758.4,Bank transfer,15,electricity,one year,Elena Esposito
10167,2020-10-27,,79.5,1859.9,Mailed check,24,gas,month-to-month,Arianna Romano
10168,2024-08-03,,115.6,1584.0,Mailed check,14,electricity,one year,Antonio Martinelli
10169,2025-01-04,,96.6,1718.1,Bank transfer,18,gas,month-to-month,Camilla Marchetti
10170,2020-12-24,,70.1,1663.4,Credit card,24,both,two year,Giulia Bianchi
10171,2024-01-29,,89.6,1925.9,Electronic check,22,gas,two year,Luigi Ricci
10172,2024-03-04,,91.3,1348.6,Bank transfer,15,both,one year,Luca Innocenti
10173,2024-06-09,2026-07-26,57.9,1514.1,Mailed check,26,gas,two year,Chiara Romano
10174,2022-04-18,,108.1,2300.0,Mailed check,22,gas,month-to-month,Elena Costa
10175,2024-04-23,,63.3,1702.4,Mailed check,27,electricity,two year,Sara Rossi
10176,2022-04-01,2023-08-03,115.2,1767.1,Bank transfer,16,both,month-to-month,Arianna Vitale
10177,2023-04-15,,84.4,1311.2,Electronic check,15,both,one year,Veronica Bruno
10178,2023-10-21,2025-04-28,102.2,1878.1,Credit card,19,both,month-to-month,Giorgio Esposito
10179,2022-04-16,,56.2,1405.1,Electronic check,26,both,two year,Michela Vitale
10180,2024-05-12,2024-10-15,93.9,461.8,Electronic check,5,both,month-to-month,Sofia Benedetti
10181,2024-11-04,,53.9,799.8,Bank transfer,15,both,one year,Arianna Marchetti
10182,2024-02-13,,85.9,357.1,Credit card,4,both,month-to-month,Angelo Romano
10183,2025-07-09,2025-11-08,113.5,448.5,Bank transfer,4,both,month-to-month,Giulia Caruso
10184,2021-06-15,,105.4,305.3,Bank transfer,3,both,month-to-month,Serena Vitale
10185,2022-04-20,2022-07-31,71.6,207.4,Bank transfer,3,electricity,month-to-month,Sofia Lombardo
10186,2023-04-15,,85.4,1149.8,Credit card,13,both,one year,Luca Marini
10187,2021-04-28,,77.6,738.1,Mailed check,10,electricity,one year,Angelo Fiore
10188,2022-10-03,,75.8,1016.5,Mailed check,13,gas,month-to-month,Roberto Longo
10189,2022-09-14,2023-10-19,103.2,1319.2,Mailed check,13,gas,month-to-month,Paolo Rossi
10190,2024-10-30,,69.5,1341.9,Electronic check,20,gas,month-to-month,Federica Caruso
10191,2021-09-21,2022-07-31,56.7,594.2,Mailed check,10,both,one year,Andrea Bellini
10192,2025-07-01,,90.9,2429.9,Credit card,27,both,two year,Silvia Sanna
10193,2021-02-05,,97.7,2730.5,Electronic check,27,gas,two year,Daniele Ferrara
10194,2023-06-27,,114.4,459.8,Electronic check,4,gas,month-to-month,Andrea Fontana
10195,2020-10-17,,97.6,967.9,Electronic check,10,both,one year,Camilla Ferrara
10196,2022-01-07,,61.0,852.7,Electronic check,14,gas,one year,Simone Costa
10197,2023-07-04,,105.4,1510.0,Mailed check,14,electricity,one year,Giorgio Caruso
10198,2023-03-28,,60.6,1331.3,Electronic check,21,gas,month-to-month,Luigi Basile
10199,2022-06-05,,73.8,2027.4,Bank transfer,28,gas,two year,Serena Russo
10200,2020-12-20,,102.6,1412.2,Credit card,14,both,one year,Salvatore Ferrara
10201,2021-01-07,,119.6,2992.8,Bank transfer,25,gas,two year,Giorgio Basile
10202,2022-08-11,,69.7,879.5,Bank transfer,13,both,month-to-month,Elisa Colombo
10203,2025-05-20,,112.4,1617.5,Electronic check,15,both,one year,Davide Costa
10204,2023-05-26,,112.1,1162.7,Bank transfer,10,electricity,one year,Antonio Costa
10205,2022-09-23,,111.1,762.7,Electronic check,7,electricity,month-to-month,Sara Barbieri
10206,2022-06-16,,53.4,671.5,Mailed check,12,electricity,month-to-month,Marco Longo
10207,2024-09-15,2026-07-22,74.5,1622.6,Credit card,22,electricity,month-to-month,Arianna Morelli
10208,2021-03-05,,72.5,568.7,Bank transfer,8,gas,month-to-month,Angelo De Luca
10209,2021-01-28,,102.7,2577.7,Credit card,26,electricity,two year,Debora Santoro
10210,2021-12-31,,70.5,275.3,Bank transfer,4,electricity,month-to-month,Alessandro Innocenti
10211,2022-05-07,,61.0,1311.1,Mailed check,22,both,month-to-month,Matteo Fiore
10212,2022-09-07,2024-06-14,107.8,2438.1,Mailed check,22,gas,month-to-month,Elena Longo
10213,2024-03-01,,119.8,1155.8,Electronic check,10,electricity,one year,Alessandro Martinelli
10214,2025-02-05,,63.0,678.9,Bank transfer,11,gas,one year,Michela Santoro
10215,2023-08-22,,78.6,1747.8,Credit card,23,electricity,two year,Debora Bruno
10216,2025-05-21,,81.7,788.9,Mailed check,10,both,month-to-month,Silvia Basile
10217,2022-07-13,,52.8,1445.0,Electronic check,28,both,two year,Vincenzo Mancini
10218,2023-12-31,,115.1,3113.8,Electronic check,28,both,two year,Paolo Gallo
10219,2024-12-21,,116.5,2779.9,Bank transfer,23,electricity,two year,Martina Bellini
10220,2021-09-07,,60.9,1185.2,Mailed check,20,both,month-to-month,Daniele Bianchi
10221,2022-09-08,,85.5,254.4,Mailed check,3,electricity,month-to-month,Debora Bianchi
10222,2024-12-13,,95.1,2006.2,Credit card,21,both,two year,Michela Marini
10223,2021-03-08,,69.0,739.2,Credit card,11,both,one year,Marco Bruno
10224,2023-12-03,2025-01-26,118.7,1625.9,Mailed check,14,gas,month-to-month,Federica Caruso
10225,2022-11-11,,70.7,1633.9,Credit card,23,gas,two year,Alessandro Gentile
10226,2023-03-29,,75.0,1649.0,Bank transfer,21,both,month-to-month,Vincenzo Morelli
10227,2025-06-25,,73.3,1987.2,Electronic check,28,gas,two year,Salvatore Bellini
10228,2023-12-22,,55.2,1308.8,Electronic check,24,electricity,two year,Giulia Rossi
10229,2021-02-04,,79.0,320.6,Credit card,4,gas,month-to-month,Camilla Gallo
10230,2022-06-15,,80.4,2162.1,Bank transfer,26,electricity,two year,Vincenzo Lombardo
10231,2022-10-08,,96.1,2432.3,Electronic check,26,gas,two year,Debora Ricci
10232,2024-04-19,,96.4,190.8,Electronic check,2,gas,month-to-month,Stefano Conti
10233,2021-01-25,,62.4,1593.0,Bank transfer,25,electricity,two year,Ilaria Bruno
10234,2024-06-18,,113.6,324.8,Bank transfer,3,electricity,month-to-month,Francesco Marchetti
10235,2025-01-22,,84.0,1146.6,Credit card,14,electricity,one year,Alessandro Bianco
10236,2024-08-10,,76.7,1493.4,Electronic check,19,gas,month-to-month,Nicole Romano
10237,2021-11-08,,108.7,1485.2,Mailed check,14,electricity,one year,Alessandro Morelli
10238,2021-05-19,,114.1,1096.0,Bank transfer,10,electricity,one year,Marco Gallo
10239,2023-02-20,,74.0,1522.1,Credit card,20,electricity,two year,Andrea Fontana
10240,2025-01-28,,50.7,1374.3,Mailed check,27,both,two year,Daniele Romano
10241,2023-07-20,,93.2,1158.0,Mailed check,13,gas,one year,Ilaria Coppola
10242,2024-11-11,,100.3,394.1,Bank transfer,4,electricity,month-to-month,Gaia Bellini
10243,2021-04-21,,106.1,1555.2,Electronic check,15,electricity,one year,Sara Mancini
10244,2020-10-01,,81.4,1392.5,Bank transfer,17,electricity,month-to-month,Stefano Conti
10245,2021-03-12,,56.6,591.5,Credit card,10,gas,month-to-month,Vincenzo Bellini
10246,2025-05-15,,92.4,2156.3,Electronic check,24,electricity,two year,Ilaria Longo
10247,2023-03-18,,79.5,1663.6,Bank transfer,21,both,two year,Angelo Mancini
10248,2020-11-28,2022-11-03,80.2,2012.2,Bank transfer,24,electricity,month-to-month,Valentina Marino
10249,2024-05-21,,79.1,848.0,Credit card,11,gas,one year,Silvia Longo
10250,2022-04-27,,94.0,2027.1,Mailed check,21,both,month-to-month,Valentina Marini
10251,2023-09-12,,73.8,804.5,Mailed check,11,electricity,one year,Daniele Marino
10252,2024-08-09,,53.8,1039.1,Bank transfer,19,electricity,month-to-month,Ilaria Marchetti
10253,2024-05-22,,72.8,1063.0,Bank transfer,15,gas,one year,Simone Lombardi
10254,2022-06-28,,64.6,66.8,Credit card,1,electricity,month-to-month,Simone Bellini
10255,2021-12-09,,66.7,848.2,Electronic check,13,electricity,one year,Alessia Romano
10256,2024-10-14,,108.0,1422.8,Bank transfer,13,electricity,one year,Federica Bruno
10257,2024-01-09,,112.5,2164.6,Electronic check,20,gas,month-to-month,Alessandro Sanna
10258,2020-09-05,,93.4,1948.8,Electronic check,20,gas,two year,Elisa Conti
10259,2023-08-09,,64.2,1351.9,Electronic check,22,both,two year,Michela Ferrara
10260,2023-03-20,,116.4,237.9,Bank transfer,2,both,month-to-month,Veronica Ricci
10261,2022-12-24,,108.7,899.2,Mailed check,8,gas,month-to-month,Angelo Martinelli
10262,2021-07-29,2022-06-14,66.5,745.1,Credit card,11,gas,one year,Chiara Rossi
10263,2022-10-13,,76.8,882.6,Mailed check,11,gas,one year,Michela Martinelli
10264,2023-10-14,,59.4,657.6,Bank transfer,11,gas,month-to-month,Debora Rossi
10265,2020-08-20,,85.0,1542.2,Mailed check,19,gas,month-to-month,Gaia Longo
10266,2020-11-25,,95.4,1371.4,Electronic check,15,electricity,month-to-month,Debora Ricci
10267,2025-04-07,,62.5,714.8,Electronic check,11,both,one year,Nicole Marini
10268,2020-10-26,,71.7,1825.3,Bank transfer,25,electricity,two year,Debora Ferrari
10269,2022-03-12,,55.9,787.6,Electronic check,14,both,month-to-month,Camilla Marini
10270,2023-11-06,2024-04-28,99.6,580.7,Credit card,6,electricity,month-to-month,Daniele Romano
10271,2025-01-16,,90.8,1022.4,Mailed check,11,electricity,one year,Elisa Costa
10272,2021-02-27,2022-12-30,73.2,1636.5,Electronic check,22,gas,month-to-month,Angelo Marchetti
10273,2024-11-02,,72.0,766.3,Mailed check,11,both,one year,Simone Marino
10274,2024-12-16,,87.1,946.9,Credit card,11,electricity,one year,Elisa Caruso
10275,2021-04-04,,99.5,2851.5,Mailed check,28,gas,two year,Michela Mancini
10276,2021-12-06,,71.8,1595.5,Electronic check,23,gas,two year,Simone De Luca
10277,2023-09-03,,83.9,2268.6,Mailed check,28,both,two year,Fabio De Luca
10278,2023-08-23,,81.9,594.4,Electronic check,7,electricity,month-to-month,Stefano Marini
10279,2021-10-08,2022-08-26,102.2,1174.7,Credit card,11,gas,one year,Andrea Sanna
10280,2020-12-09,,99.5,1178.2,Electronic check,12,both,month-to-month,Andrea Santoro
10281,2021-09-03,,114.1,1125.9,Credit card,10,electricity,one year,Gaia Bellini
10282,2021-01-13,,88.5,1243.8,Credit card,14,both,month-to-month,Alessandro Barbieri
10283,2023-04-19,,114.9,2666.1,Bank transfer,23,both,month-to-month,Michela Russo
10284,2021-12-26,,50.9,676.5,Credit card,13,electricity,month-to-month,Marco Bianco
10285,2025-03-21,,105.1,1443.2,Mailed check,14,both,one year,Elisa Caruso
10286,2023-01-13,,50.7,861.4,Electronic check,17,both,month-to-month,Elisa Giordano
10287,2024-06-16,,96.7,1030.4,Bank transfer,11,electricity,one year,Sofia Costa
10288,2024-04-24,,113.2,2414.1,Mailed check,21,gas,month-to-month,Elisa Costa
10289,2024-02-03,2025-03-16,74.4,1025.6,Credit card,14,both,month-to-month,Giulia Esposito
10290,2022-10-04,2023-04-24,101.6,678.7,Credit card,7,both,month-to-month,Debora Lombardo
10291,2023-04-03,2025-02-20,56.0,1253.2,Bank transfer,23,electricity,two year,Matteo Morelli
10292,2023-03-14,,94.5,2673.2,Mailed check,28,gas,two year,Ilaria Ferrara
10293,2022-08-13,,56.7,572.5,Bank transfer,10,both,one year,Paolo Costa
10294,2022-12-23,2023-12-15,90.6,1063.7,Mailed check,12,electricity,one year,Vincenzo Russo
10295,2023-12-02,,59.4,1128.8,Electronic check,20,both,month-to-month,Serena Fontana
10296,2024-06-09,,91.5,2000.0,Mailed check,21,both,two year,Serena Costa
10297,2022-06-29,2024-03-15,68.4,1381.4,Credit card,21,electricity,month-to-month,Salvatore Innocenti
10298,2025-02-04,,81.5,2089.1,Electronic check,25,gas,two year,Federica Bianco
10299,2020-11-10,,105.9,1928.5,Credit card,18,both,month-to-month,Elena Russo
10300,2024-05-28,,117.1,3291.1,Mailed check,27,both,two year,Angelo Mancini
10301,2022-08-31,,72.9,985.8,Bank transfer,13,electricity,month-to-month,Ilaria Basile
10302,2024-03-26,,105.7,1524.3,Mailed check,15,both,one year,Martina Caruso
10303,2021-09-28,,111.8,2713.8,Credit card,24,both,two year,Sofia Martinelli
10304,2020-11-10,,68.2,1397.3,Electronic check,21,gas,two year,Chiara Barbieri
10305,2022-06-12,,84.5,1162.5,Mailed check,14,electricity,one year,Federica Romano
10306,2024-03-14,,73.0,1260.8,Bank transfer,17,electricity,month-to-month,Michela Ricci
10307,2025-03-01,,71.0,1450.2,Electronic check,20,gas,two year,Elisa Marini
10308,2023-04-07,,98.6,2483.6,Mailed check,25,gas,two year,Federica Conti
10309,2021-11-12,,117.2,1196.8,Credit card,10,electricity,month-to-month,Gaia Barbieri
10310,2023-03-07,,100.2,1364.8,Bank transfer,14,both,one year,Debora Colombo
