customer_id,contract_start_date,contract_end_date,monthly_charges,total_charges,payment_method,tenure_months,service_type,contract_type,name,avg_monthly_consumption_kwh,num_support_contacts_last_year,consumption_volatility,consumption_trend,consumption_vs_local_avg_ratio,peak_hour_consumption_ratio,smart_meter_flag,has_promo,days_since_last_promo_end,num_price_changes_last_year,last_bill_amount_vs_avg,num_late_payments,avg_days_late_payment,billing_method,contract_renewal_reminder_sent,days_to_contract_end,has_online_account,num_logins_last_month,num_paperless_bills_sent,last_survey_satisfaction_score,num_complaints_last_year,complaint_resolution_time_avg,customer_tenure_type
10011,2023-10-18,,71.7,1037.2,Mailed check,15,electricity,one year,Sara Ferrari,306,1,0.287,0.0008,0.98,0.35,True,False,49,2,1.0,0,0,Online Portal,True,111,False,0,15,8,0,0,Owner
10012,2022-06-04,,74.5,1552.1,Electronic check,21,both,month-to-month,Francesco Lombardo,2169,1,0.2702,0.0027,1.1,0.34,True,False,43,0,0.88,0,0,Email,False,,False,0,21,8,0,0,Tenant
10013,2020-09-19,,103.5,1507.6,Electronic check,14,electricity,one year,Elisa Vitale,250,0,0.137,0.0024,1.1,0.49,False,True,0,0,1.06,0,0,Email,False,59,True,11,14,7,0,0,Tenant
10014,2023-07-19,,112.7,1462.3,Electronic check,13,gas,one year,Chiara Fiore,1977,0,0.2428,-0.0045,0.98,0.41,True,False,267,1,1.28,1,6,Online Portal,True,46,True,1,13,8,0,0,Owner
10015,2021-11-26,2023-10-24,59.7,1383.6,Bank transfer,23,gas,month-to-month,Fabio Gallo,1747,5,0.4141,0.0067,1.14,0.22,False,False,106,2,1.23,3,29,Paper,False,,True,1,0,0,4,17,Owner
10016,2025-05-26,,62.0,64.2,Credit card,1,gas,month-to-month,Antonio Bruno,1185,4,0.2951,0.0035,1.14,0.3,False,False,83,2,1.14,0,0,Email,False,,False,0,1,10,3,16,Owner
10017,2022-09-18,,117.2,3188.0,Electronic check,26,gas,two year,Alessia Conti,1162,3,0.1462,0.0001,1.0,0.45,False,True,0,0,1.13,2,9,Email,True,156,True,5,26,10,1,9,Tenant
10018,2021-08-13,2022-08-21,91.8,1084.8,Electronic check,12,electricity,one year,Davide Mancini,206,13,0.4886,-0.0483,0.83,0.33,True,False,216,2,2.94,2,8,Online Portal,False,,False,0,12,1,9,22,Tenant
10019,2025-01-23,,66.0,1471.3,Credit card,23,both,two year,Camilla Costa,2394,2,0.23,0.0046,1.0,0.44,True,False,31,0,1.11,1,10,Online Portal,True,30,True,17,23,8,0,0,Tenant
10020,2025-05-03,,85.4,892.9,Mailed check,11,both,one year,Luca Lombardo,1575,2,0.134,-0.0088,1.01,0.34,False,False,332,2,1.29,1,14,Paper,True,139,True,16,0,9,1,16,Tenant
10021,2023-06-03,2024-08-09,59.0,864.8,Credit card,14,electricity,month-to-month,Paolo Fontana,285,4,0.1711,-0.0343,1.17,0.3,True,False,355,0,2.35,5,19,Email,False,,False,0,14,0,2,8,Tenant
10022,2022-01-22,,118.9,2617.1,Mailed check,23,gas,month-to-month,Salvatore Bianco,1083,0,0.1075,-0.0007,1.2,0.36,True,False,190,3,1.08,0,0,Paper,False,,True,6,0,10,0,0,Owner
10023,2025-07-01,2026-02-02,61.4,442.8,Mailed check,7,both,month-to-month,Francesco Rossi,1486,11,0.3014,0.0053,0.97,0.43,True,False,155,2,1.22,2,16,Online Portal,False,,True,9,7,0,5,28,Tenant
10024,2021-07-12,,94.8,1225.5,Mailed check,13,electricity,one year,Stefano Romano,307,4,0.2419,-0.0035,1.19,0.33,True,False,237,1,0.96,0,0,Paper,True,166,True,8,0,8,3,2,Owner
10025,2021-08-18,2022-01-28,58.6,291.2,Bank transfer,5,both,month-to-month,Michela Coppola,1679,5,0.3219,-0.044,0.94,0.48,True,False,85,2,1.18,4,23,Paper,False,,False,0,0,4,2,21,Owner
10026,2022-07-06,,105.8,2588.8,Electronic check,25,electricity,two year,Camilla Gallo,229,2,0.1671,-0.0051,0.95,0.22,True,False,209,1,1.09,0,0,Online Portal,False,132,True,9,25,7,0,0,Tenant
10027,2025-06-11,,94.3,1335.9,Mailed check,14,electricity,one year,Giorgio Marino,225,0,0.1099,-0.0064,1.19,0.47,True,True,0,0,0.96,0,0,Online Portal,True,149,True,13,14,9,0,0,Tenant
10028,2021-01-31,,63.8,1736.6,Electronic check,27,both,two year,Giulia Giordano,2159,0,0.2632,0.0093,1.09,0.24,True,False,323,0,0.91,0,0,Paper,True,34,False,0,0,10,0,0,Tenant
10029,2024-08-25,,97.3,507.3,Bank transfer,5,both,month-to-month,Veronica Conti,1863,2,0.1791,-0.0089,1.01,0.31,True,True,0,1,0.85,0,0,Email,False,,True,3,5,10,0,0,Owner
10030,2020-12-03,,51.1,209.0,Electronic check,4,both,month-to-month,Vincenzo Giordano,1468,1,0.1708,0.003,0.91,0.3,True,False,54,1,0.9,1,18,Paper,False,,False,0,0,8,0,0,Tenant
10031,2022-04-23,,85.4,1227.3,Electronic check,15,electricity,one year,Simone Barbieri,315,1,0.215,0.0062,1.03,0.47,True,False,357,2,0.81,0,0,Email,True,22,False,0,15,10,0,0,Owner
10032,2023-03-15,2024-10-13,104.4,2020.9,Mailed check,19,electricity,month-to-month,Davide Colombo,324,12,0.2385,-0.0209,0.5,0.45,True,True,0,0,1.68,5,28,Email,False,,False,0,19,5,5,17,Owner
10033,2024-08-08,,79.3,2160.3,Bank transfer,27,electricity,two year,Marco Ricci,369,2,0.1719,-0.0019,0.92,0.48,True,False,137,0,1.09,0,0,Paper,True,167,False,0,0,9,1,21,Tenant
10034,2023-12-20,2024-07-16,71.1,522.3,Bank transfer,7,electricity,month-to-month,Sofia Romano,375,3,0.2198,-0.0162,0.85,0.5,False,False,228,1,1.01,4,5,Online Portal,False,,False,0,7,6,2,24,Tenant
10035,2023-09-30,,63.5,802.6,Electronic check,13,electricity,month-to-month,Andrea Lombardi,380,2,0.2354,0.006,1.09,0.49,True,True,0,2,1.02,1,14,Online Portal,False,,True,11,13,9,1,11,Tenant
10036,2024-04-30,,58.1,277.4,Credit card,5,gas,month-to-month,Arianna Rossi,1892,2,0.2274,-0.0077,0.94,0.4,True,False,336,2,1.15,0,0,Paper,False,,True,1,0,10,1,11,Tenant
10037,2023-09-04,,50.8,409.2,Credit card,8,gas,month-to-month,Fabio Lombardo,1942,0,0.2274,-0.0031,1.16,0.46,False,False,206,1,1.17,0,0,Email,False,,True,14,8,7,0,0,Owner
10038,2022-08-31,,70.3,1101.2,Mailed check,15,gas,one year,Serena Caruso,1439,4,0.1571,-0.0018,1.02,0.39,False,False,139,0,1.21,0,0,Online Portal,True,104,True,5,15,10,1,1,Tenant
10039,2022-04-30,,57.4,719.8,Bank transfer,12,gas,one year,Stefano Sanna,1081,3,0.2581,0.0067,1.11,0.46,True,False,227,2,0.9,0,0,Paper,True,121,True,10,0,8,1,15,Tenant
10040,2023-01-28,2024-03-02,57.7,761.3,Bank transfer,13,gas,month-to-month,Salvatore Benedetti,1072,5,0.2587,-0.0474,1.13,0.28,True,True,0,0,1.0,4,25,Email,False,,False,0,13,5,2,5,Owner
10041,2023-10-14,,99.6,1807.2,Mailed check,18,gas,month-to-month,Paolo Gallo,1844,0,0.1556,0.004,0.96,0.32,False,False,63,0,1.05,0,0,Online Portal,False,,False,0,18,10,0,0,Owner
10042,2022-10-11,,107.5,1638.4,Electronic check,15,gas,one year,Alessandro Marino,1670,2,0.1236,-0.0029,1.02,0.49,True,True,0,0,1.08,0,0,Email,True,169,True,19,15,10,1,8,Tenant
10043,2023-04-23,2025-03-01,81.4,1812.0,Electronic check,23,both,month-to-month,Davide Barbieri,1283,15,0.2195,-0.0164,0.51,0.44,True,False,307,1,1.21,3,28,Email,False,,False,0,23,1,6,13,Tenant
10044,2022-12-15,,85.6,2186.5,Electronic check,26,gas,two year,Stefano Gallo,1991,2,0.2859,0.0085,0.98,0.26,True,False,277,2,1.23,0,0,Paper,True,179,True,20,0,9,1,10,Tenant
10045,2021-05-01,,100.4,1359.4,Credit card,13,gas,one year,Salvatore Benedetti,1497,4,0.272,-0.0045,0.96,0.22,True,True,0,0,1.3,1,28,Online Portal,True,81,False,0,13,8,1,4,Owner
10046,2021-10-01,,90.9,2606.3,Mailed check,28,gas,two year,Nicole Conti,1904,0,0.2402,0.006,0.92,0.4,True,False,270,0,0.89,0,0,Online Portal,True,119,True,20,28,8,0,0,Tenant
10047,2022-05-10,,58.4,872.9,Mailed check,15,both,month-to-month,Simone Fontana,2177,0,0.2295,-0.0083,0.96,0.3,True,True,0,0,1.04,1,14,Online Portal,False,,True,4,15,8,0,0,Tenant
10048,2021-04-20,,117.7,1234.9,Mailed check,10,both,one year,Luca Fiore,1822,0,0.2194,0.0077,1.0,0.23,True,False,129,0,1.02,0,0,Online Portal,False,148,False,0,10,9,0,0,Tenant
10049,2023-03-25,,77.0,2076.5,Mailed check,26,electricity,two year,Angelo Giordano,397,3,0.2668,-0.0032,1.01,0.21,True,False,179,0,1.26,0,0,Email,True,7,True,11,26,9,0,0,Tenant
10050,2021-03-13,,50.0,511.6,Bank transfer,10,gas,one year,Francesco Giordano,1454,0,0.2936,-0.0081,1.07,0.28,True,False,260,0,1.16,0,0,Email,False,76,True,16,10,7,0,0,Owner
10051,2021-08-08,,81.1,1177.0,Bank transfer,15,gas,one year,Federica Bellini,1562,1,0.1962,-0.0044,1.0,0.41,True,False,119,0,1.04,0,0,Online Portal,True,28,True,10,15,9,0,0,Owner
10052,2021-05-29,,79.3,1547.8,Mailed check,20,electricity,month-to-month,Fabio Sanna,322,4,0.148,0.0086,1.1,0.43,True,False,178,2,0.89,0,0,Online Portal,False,,True,11,20,7,3,20,Tenant
10053,2023-03-06,,94.5,2009.8,Mailed check,22,electricity,two year,Marco Santoro,211,3,0.1816,-0.0016,0.96,0.48,True,True,0,0,0.94,0,0,Paper,True,140,False,0,0,9,1,12,Owner
10054,2024-10-11,,87.0,2005.9,Credit card,24,both,two year,Chiara Marini,1342,1,0.2836,-0.0095,1.17,0.25,True,False,347,1,0.9,0,0,Online Portal,True,106,True,10,24,10,0,0,Owner
10055,2023-11-07,,107.4,2356.3,Bank transfer,23,gas,two year,Sara Bellini,1924,3,0.2391,-0.0077,1.1,0.25,True,False,277,1,1.04,0,0,Online Portal,True,40,True,6,23,9,0,0,Tenant
10056,2022-12-16,,112.4,3083.7,Bank transfer,28,both,two year,Ilaria Gallo,1729,3,0.1872,0.0014,1.11,0.41,False,False,218,0,1.29,0,0,Paper,True,94,False,0,0,10,1,28,Tenant
10057,2022-07-24,2022-12-25,64.7,314.2,Bank transfer,5,both,month-to-month,Gaia Russo,1944,8,0.3101,-0.0031,0.79,0.44,True,True,0,0,1.81,1,22,Email,False,,True,9,5,5,3,27,Tenant
10058,2021-12-08,,81.9,1181.7,Mailed check,14,electricity,one year,Alessandro De Luca,343,2,0.1158,-0.0058,1.15,0.4,True,False,322,0,1.06,0,0,Paper,True,40,False,0,0,9,1,16,Owner
10059,2024-10-30,,106.7,2308.6,Bank transfer,22,both,two year,Sofia Sanna,1999,1,0.1336,-0.0051,1.02,0.3,False,False,321,0,1.15,0,0,Online Portal,True,21,True,18,22,10,0,0,Tenant
10060,2023-11-03,,91.8,2442.8,Electronic check,27,gas,two year,Gaia De Luca,1120,0,0.1752,0.0098,0.95,0.3,True,False,48,2,0.82,0,0,Email,False,1,False,0,27,8,0,0,Owner
10061,2024-09-10,,86.8,2138.6,Mailed check,24,both,two year,Roberto Innocenti,2209,2,0.282,-0.0069,0.92,0.24,True,False,351,0,1.04,0,0,Paper,True,44,False,0,0,10,1,11,Tenant
10062,2023-05-18,,56.5,1078.8,Bank transfer,20,electricity,two year,Arianna Caruso,396,4,0.1664,0.0076,0.99,0.22,True,False,313,3,1.18,0,0,Paper,True,60,True,20,0,10,2,29,Owner
10063,2022-01-19,,69.9,2023.9,Bank transfer,28,both,two year,Nicole Ricci,1666,1,0.267,-0.0052,1.02,0.38,False,False,314,1,1.21,0,0,Paper,True,66,True,13,0,10,0,0,Owner
10064,2022-07-15,2023-09-03,94.7,1378.6,Bank transfer,14,both,one year,Ilaria De Luca,2029,13,0.1499,-0.0238,1.11,0.24,True,True,0,1,0.95,4,17,Paper,True,,True,11,0,5,11,21,Tenant
10065,2021-08-25,,53.5,796.6,Electronic check,15,gas,one year,Arianna Moretti,1584,3,0.2801,-0.008,0.9,0.35,True,True,0,0,1.19,0,0,Paper,False,16,True,4,0,8,2,24,Owner
10066,2021-06-10,,99.6,2800.5,Credit card,28,both,two year,Simone Bianco,1687,3,0.1903,0.0011,1.01,0.46,False,False,170,1,0.86,0,0,Online Portal,True,61,True,14,28,10,2,13,Tenant
10067,2021-03-15,,95.4,2231.4,Mailed check,23,both,two year,Silvia Lombardi,1721,2,0.2346,-0.0055,1.04,0.41,True,False,33,2,0.96,0,0,Paper,True,43,False,0,0,7,1,22,Tenant
10068,2020-09-01,,52.1,1147.7,Electronic check,21,gas,two year,Giorgio Romano,1558,2,0.2264,-0.0045,1.07,0.29,True,True,0,0,1.23,0,0,Online Portal,False,90,False,0,21,9,1,24,Owner
10069,2022-08-11,,91.5,2583.1,Electronic check,28,both,two year,Elisa Bruno,1486,2,0.2581,0.003,0.93,0.22,False,False,110,1,1.28,0,0,Online Portal,False,173,False,0,28,9,1,12,Owner
10070,2024-06-01,,63.0,1585.7,Mailed check,26,gas,two year,Alessia Bruno,1267,0,0.1852,-0.0099,1.07,0.46,True,True,0,0,0.82,0,0,Paper,True,58,False,0,0,7,0,0,Tenant
10071,2023-12-21,,68.9,983.7,Credit card,14,gas,month-to-month,Luca Fontana,1235,4,0.1566,-0.0086,0.93,0.23,False,False,172,1,0.82,0,0,Paper,False,,True,8,0,10,3,11,Tenant
10072,2023-06-30,2024-09-22,72.9,1120.1,Credit card,15,both,month-to-month,Chiara Moretti,1200,6,0.3133,-0.0348,1.19,0.38,True,True,0,2,0.99,2,29,Paper,False,,True,18,0,0,3,3,Owner
10073,2021-08-18,,100.1,1296.6,Mailed check,13,both,month-to-month,Luca Russo,2377,0,0.148,-0.0023,1.2,0.34,True,False,234,1,1.22,0,0,Paper,False,,True,3,0,8,0,0,Tenant
10074,2021-05-13,,69.3,860.7,Electronic check,13,both,one year,Veronica De Luca,2013,0,0.1292,0.0052,1.0,0.39,False,False,153,1,0.86,0,0,Email,False,75,True,7,13,7,0,0,Tenant
10075,2023-03-21,2025-03-01,108.9,2540.4,Mailed check,24,both,month-to-month,Simone Marini,1397,10,0.2752,0.0058,1.1,0.26,True,False,118,1,1.3,5,6,Paper,False,,True,2,0,1,9,24,Owner
10076,2023-05-19,,116.3,1435.5,Mailed check,12,electricity,one year,Francesco Martinelli,323,1,0.2488,0.0055,0.91,0.49,True,False,38,0,1.19,0,0,Email,False,41,False,0,12,9,0,0,Owner
10077,2023-01-10,,65.6,1509.5,Mailed check,23,both,month-to-month,Paolo Ferrara,2153,0,0.1495,0.0005,0.99,0.33,True,False,198,0,1.21,1,15,Email,False,,True,6,23,10,0,0,Owner
10078,2023-12-06,,53.9,434.0,Electronic check,8,electricity,month-to-month,Luca Costa,280,4,0.1279,0.0053,1.03,0.35,True,False,201,0,0.94,0,0,Online Portal,False,,True,11,8,10,3,30,Tenant
10079,2025-07-16,2025-11-14,59.7,236.8,Bank transfer,4,both,month-to-month,Daniele Bruno,1978,12,0.3287,-0.0066,0.85,0.44,True,False,174,2,2.81,1,10,Online Portal,False,,True,0,4,0,9,18,Owner
10080,2020-09-25,2020-12-10,89.9,267.5,Bank transfer,3,gas,month-to-month,Federica Rossi,1659,11,0.5396,0.0058,1.01,0.41,True,False,128,0,1.57,1,29,Online Portal,False,,False,0,3,6,10,10,Owner
10081,2024-12-15,,107.0,611.5,Bank transfer,6,both,month-to-month,Serena Marchetti,2389,0,0.1048,0.0044,0.93,0.22,True,False,192,0,1.08,0,0,Paper,False,,False,0,0,8,0,0,Owner
10082,2021-05-17,,74.5,1343.9,Bank transfer,18,gas,month-to-month,Elena Mancini,1690,3,0.2279,-0.0016,1.06,0.42,False,False,275,2,0.88,0,0,Paper,False,,False,0,0,9,1,26,Tenant
10083,2020-11-19,,118.6,1206.0,Credit card,10,both,one year,Matteo Morelli,1457,1,0.1737,0.0014,0.96,0.21,True,False,337,1,1.04,0,0,Email,True,148,True,12,10,8,0,0,Owner
10084,2022-06-09,,91.6,2514.8,Credit card,28,gas,two year,Gaia Romano,1210,0,0.1207,-0.0067,1.12,0.23,True,False,309,0,1.28,0,0,Email,True,53,True,4,28,10,0,0,Owner
10085,2024-02-15,,53.2,1129.1,Electronic check,22,both,two year,Luca Russo,1907,0,0.1426,-0.0025,0.91,0.28,True,False,121,0,1.14,0,0,Paper,True,8,True,11,0,10,0,0,Owner
10086,2023-06-14,2024-11-07,79.2,1362.4,Electronic check,17,gas,month-to-month,Serena Romano,1849,8,0.3601,-0.0476,1.14,0.36,True,False,190,3,2.05,4,18,Online Portal,False,,False,0,17,4,4,12,Owner
10087,2020-08-22,,53.1,1407.8,Bank transfer,26,gas,two year,Francesco Mancini,1248,0,0.198,-0.006,1.08,0.35,True,True,0,0,1.06,0,0,Paper,True,117,False,0,0,9,0,0,Owner
10088,2024-02-14,,109.4,1084.0,Electronic check,10,both,one year,Ilaria Costa,2350,3,0.1037,-0.0011,1.07,0.45,True,False,241,0,1.2,0,0,Paper,False,73,True,14,0,9,1,5,Tenant
10089,2022-07-11,,105.3,1362.3,Electronic check,13,gas,one year,Nicole Rossi,1067,2,0.2149,0.0056,1.09,0.22,True,True,0,1,0.91,0,0,Paper,True,169,False,0,0,8,0,0,Owner
10090,2022-10-26,2023-06-11,51.7,400.8,Bank transfer,8,gas,month-to-month,Marco Marini,1061,11,0.2798,-0.0195,0.71,0.31,False,False,180,0,2.89,1,28,Paper,False,,True,17,0,2,7,23,Tenant
10091,2024-09-29,,109.4,2734.2,Electronic check,26,both,two year,Angelo Coppola,2011,3,0.1745,0.0012,1.01,0.42,True,True,0,1,1.0,0,0,Online Portal,True,82,False,0,26,7,2,17,Owner
10092,2024-10-30,,97.3,2270.2,Mailed check,23,both,two year,Nicole Bruno,1643,2,0.1504,-0.0048,1.12,0.35,False,False,89,0,1.11,0,0,Paper,True,115,True,12,0,9,1,13,Owner
10093,2022-11-27,,56.1,510.6,Electronic check,9,gas,month-to-month,Luca Lombardo,1751,2,0.1196,0.0054,0.99,0.33,False,True,0,2,1.24,0,0,Paper,False,,True,4,0,9,1,25,Tenant
10094,2024-03-14,,82.1,1042.1,Credit card,13,electricity,one year,Sara Coppola,229,2,0.2641,-0.0004,1.15,0.43,True,False,283,1,1.29,0,0,Paper,True,59,True,11,0,10,1,8,Tenant
10095,2021-09-07,,73.7,1294.1,Credit card,18,electricity,month-to-month,Simone Gallo,240,1,0.2893,0.0038,1.01,0.38,False,True,0,3,0.83,0,0,Paper,False,,True,20,0,8,0,0,Owner
10096,2020-09-05,,112.3,2159.3,Mailed check,20,gas,two year,Luca Fiore,1083,0,0.1503,0.0057,1.07,0.49,True,False,58,1,1.14,0,0,Online Portal,True,53,False,0,20,7,0,0,Tenant
10097,2024-02-02,,107.0,1060.1,Credit card,10,electricity,one year,Marco Fontana,359,1,0.2621,-0.0053,1.0,0.48,False,True,0,1,0.97,0,0,Paper,True,90,True,19,0,10,0,0,Owner
10098,2021-08-30,,88.0,1363.5,Mailed check,15,electricity,one year,Antonio Marchetti,240,3,0.1444,0.0095,1.1,0.5,False,False,91,0,0.84,0,0,Paper,True,156,False,0,0,10,1,19,Owner
10099,2022-07-25,,85.6,487.9,Credit card,6,both,month-to-month,Gaia Giordano,2135,2,0.2981,-0.0025,1.17,0.39,True,False,139,2,1.08,0,0,Paper,False,,True,0,0,7,1,14,Tenant
10100,2021-12-18,,60.3,936.8,Electronic check,16,electricity,month-to-month,Alessandro Longo,331,2,0.2345,0.0035,0.94,0.38,True,True,0,2,0.91,0,0,Email,False,,True,10,16,8,0,0,Tenant
10101,2024-08-14,,56.1,671.2,Credit card,12,gas,one year,Debora Coppola,1559,0,0.2701,0.0028,1.14,0.35,False,True,0,1,1.14,0,0,Online Portal,True,129,True,19,12,8,0,0,Tenant
10102,2025-05-08,,52.0,625.4,Mailed check,12,electricity,one year,Luigi Vitale,254,4,0.2577,-0.0053,1.16,0.31,True,True,0,0,1.11,2,25,Email,True,22,False,0,12,7,3,17,Tenant
10103,2022-07-15,,64.9,899.8,Bank transfer,14,electricity,one year,Debora Esposito,310,2,0.1552,0.0018,1.16,0.38,False,False,338,2,1.28,1,12,Paper,True,142,True,12,0,8,1,16,Owner
10104,2022-07-09,,58.6,1306.9,Electronic check,22,electricity,two year,Nicole Romano,205,1,0.2603,-0.0039,1.14,0.32,False,False,169,0,1.25,0,0,Paper,True,153,True,11,0,8,0,0,Owner
10105,2021-01-10,2022-10-22,102.4,2287.3,Credit card,22,gas,month-to-month,Elisa Martinelli,1308,7,0.3601,-0.0014,0.9,0.28,True,False,188,2,1.0,4,30,Paper,False,,False,0,0,3,4,27,Owner
10106,2022-06-06,,109.8,3049.9,Mailed check,28,both,two year,Sofia Rossi,1573,4,0.1723,-0.0024,1.15,0.35,True,False,54,1,0.89,0,0,Email,True,10,False,0,28,7,3,7,Owner
10107,2025-06-15,2026-05-12,71.1,756.1,Bank transfer,11,both,month-to-month,Debora Martinelli,1842,9,0.1358,0.0062,0.55,0.29,False,False,333,1,1.14,5,27,Paper,False,,False,0,0,5,8,7,Owner
10108,2020-08-17,,105.7,2811.4,Credit card,27,electricity,two year,Marco Ferrara,234,0,0.2926,-0.0028,1.14,0.44,True,False,362,0,1.16,1,28,Online Portal,True,129,True,2,27,10,0,0,Tenant
10109,2022-05-13,,64.4,738.3,Electronic check,11,both,one year,Roberto Giordano,2105,3,0.2589,-0.0061,1.19,0.45,True,False,157,0,1.17,0,0,Email,True,134,True,17,11,9,1,8,Tenant
10110,2022-10-29,,79.0,1537.7,Bank transfer,20,electricity,month-to-month,Marco Longo,253,4,0.1635,-0.0046,1.18,0.48,True,False,101,1,1.26,0,0,Email,False,,True,17,20,8,3,8,Owner
10111,2021-05-14,,99.6,1313.9,Credit card,13,both,one year,Nicole Morelli,1667,3,0.1756,0.0001,1.04,0.44,True,False,350,3,0.89,0,0,Paper,True,23,True,14,0,9,2,2,Tenant
10112,2021-06-22,,86.4,89.9,Mailed check,1,both,month-to-month,Sofia Ricci,1926,0,0.1295,0.0097,1.19,0.48,True,True,0,0,0.95,0,0,Email,False,,True,16,1,8,0,0,Owner
10113,2023-05-04,,92.6,626.7,Credit card,7,gas,month-to-month,Roberto Russo,1173,1,0.2764,0.0061,1.01,0.24,False,True,0,2,0.87,0,0,Email,False,,True,20,7,9,0,0,Tenant
10114,2023-03-14,,68.4,1705.1,Electronic check,26,electricity,two year,Salvatore Vitale,226,2,0.2958,0.0015,1.07,0.5,False,False,113,0,1.28,0,0,Online Portal,True,155,True,9,26,9,1,7,Tenant
10115,2022-05-13,,82.2,1289.4,Bank transfer,15,gas,one year,Serena Giordano,1566,2,0.2881,0.0056,0.93,0.41,False,False,49,0,0.95,0,0,Online Portal,True,47,False,0,15,7,1,29,Tenant
10116,2020-08-29,,64.8,1256.6,Credit card,20,gas,two year,Francesco Ferrari,1039,3,0.1323,0.0075,0.96,0.31,False,False,49,2,1.16,0,0,Paper,False,123,True,7,0,8,2,14,Owner
10117,2024-04-16,,89.4,1126.0,Mailed check,13,gas,one year,Gaia Fiore,1175,0,0.2632,-0.0065,1.16,0.25,True,False,42,0,1.09,0,0,Online Portal,True,79,False,0,13,9,0,0,Tenant
10118,2022-04-03,2024-06-16,55.5,1439.8,Credit card,27,gas,two year,Paolo Giordano,1296,12,0.3923,-0.0035,0.78,0.49,True,True,0,1,0.93,2,12,Online Portal,True,,True,7,27,1,8,9,Owner
10119,2022-04-24,,59.3,1555.1,Electronic check,26,gas,two year,Stefano Marchetti,1514,3,0.147,0.0003,1.15,0.38,True,True,0,0,1.15,0,0,Online Portal,True,164,False,0,26,8,2,18,Tenant
10120,2022-12-04,,77.0,1765.5,Credit card,24,electricity,two year,Marco Bianchi,311,4,0.1561,-0.0027,1.01,0.23,True,False,144,0,0.94,0,0,Paper,True,66,False,0,0,8,2,10,Tenant
10121,2020-08-12,,81.5,1961.9,Bank transfer,25,both,two year,Paolo Basile,1555,3,0.17,-0.0049,0.99,0.42,True,False,234,2,0.97,2,26,Paper,True,178,True,11,0,9,1,12,Tenant
10122,2021-04-04,2021-06-10,68.2,134.8,Mailed check,2,electricity,month-to-month,Giulia Ferrari,312,11,0.3643,-0.0404,0.99,0.23,True,False,141,0,0.86,5,7,Paper,False,,True,9,0,1,4,20,Tenant
10123,2022-07-22,,112.2,1520.5,Electronic check,13,both,one year,Sofia Bianchi,1379,2,0.1682,-0.0058,1.03,0.43,False,False,293,1,1.14,0,0,Online Portal,True,92,True,14,13,10,1,8,Owner
